"nombre_sensor,""zona"",""valor"",""latitud"",""longitud"""
"ESP32_Ultra_01,""Universidad"",""3604"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6756"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5701"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""261"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""3999"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7586"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2041"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""1098"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6744"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7036"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7927"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6512"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""547"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4141"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4207"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""476"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""1976"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7914"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""340"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6446"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6113"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4859"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2469"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7731"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2061"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2824"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4351"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""3795"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""538"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4984"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6665"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""3441"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5783"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""332"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2275"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""140"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5745"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2525"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7317"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5475"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7776"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""1163"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""3617"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6611"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""1995"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""1911"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6868"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2522"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6258"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2805"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4953"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""74"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""376"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4663"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""135"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""1543"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7324"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4499"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5963"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4226"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2868"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4678"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""392"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""8088"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""3749"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5133"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""704"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4645"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7548"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5555"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6715"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""485"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4833"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2819"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5623"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""251"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""827"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""3363"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7632"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5439"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""4038"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""413"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""5289"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6706"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""484"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2169"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""3133"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""6416"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""634"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""2144"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""1954"",""-163933333333333"",""-715288888888889"""
"ESP32_Ultra_01,""Universidad"",""7973"",""-163933333333333"",""-715288888888889"""
